epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,2.0628451695457453,0.19918,2.05475,0.2005
2,1.938655790147153,0.29708,1.9679375,0.3005
3,1.8547645553422905,0.33104,1.805875,0.3261
4,1.8095419065898912,0.33902,1.691375,0.3342
5,1.7837197696737046,0.35696,1.5949375,0.3529
6,1.7552987843889956,0.35918,1.64075,0.3539
7,1.74666474728087,0.3756,1.607875,0.3629
8,1.7359206653870762,0.37568,1.64875,0.3749
9,1.7305802943058222,0.37628,1.6888125,0.3672
10,1.7243749200255918,0.37894,1.6226875,0.3682
11,1.7182738323736404,0.37816,1.7364375,0.3727
12,1.7289385796545107,0.37024,1.6570625,0.3559
13,1.7230255918106205,0.3763,1.606125,0.3725
14,1.7045412667946256,0.38866,1.64575,0.3788
15,1.7131094049904032,0.37982,1.7098125,0.3612
16,1.7210358285348688,0.37308,1.669,0.3604
17,1.7211746641074857,0.37468,1.709625,0.3632
18,1.7200217530390274,0.37706,1.7100625,0.362
19,1.7244580934101088,0.38596,1.7125,0.3742
20,1.7121113243761998,0.38546,1.683,0.3716
21,1.7187651951375558,0.38048,1.7024375,0.3665
22,1.7342712731925785,0.38322,1.7158125,0.3665
23,1.726410108765195,0.37622,1.746125,0.3659
24,1.7188317338451695,0.37876,1.7780625,0.3666
25,1.7313710812539986,0.3642,1.8195,0.3481
26,1.7299315419065897,0.37508,1.8366875,0.3652
27,1.7349961612284068,0.37,1.7635,0.3627
28,1.732567498400512,0.36398,1.8295625,0.3424
29,1.744200895713372,0.3777,1.7560625,0.3607
30,1.7543992322456816,0.36032,1.741375,0.3474
31,1.7545348688419706,0.3709,1.7084375,0.3625
32,1.7586122840690976,0.36348,1.81275,0.3582
33,1.764273192578375,0.36636,1.7688125,0.3555
34,1.7627370441458732,0.37338,1.6529375,0.3577
35,1.7669360204734486,0.35868,1.7954375,0.3503
36,1.76652783109405,0.36738,1.7046875,0.3585
37,1.7772092130518233,0.36672,1.8305,0.352
38,1.7750345489443378,0.36482,1.765875,0.3528
39,1.779133077415227,0.35624,1.8690625,0.3437
40,1.7660083173384518,0.3709,1.7433125,0.365
41,1.7901529110684582,0.35806,1.7271875,0.3483
42,1.7825060780550221,0.35874,1.662625,0.343
43,1.7863237364043505,0.36368,1.748875,0.3527
44,1.7840927703134997,0.35348,1.7188125,0.3407
45,1.7878784388995523,0.35222,1.7794375,0.3361
46,1.7941017274472169,0.3416,1.7473125,0.3345
47,1.7969961612284069,0.33574,1.8291875,0.3213
48,1.8155924504158671,0.3566,1.80375,0.3516
49,1.8159667306461933,0.3223,1.689,0.3186
50,1.8278003838771593,0.34542,1.7618125,0.3402
