epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,1.2932200895713373,0.63046,"tensor(1.1915, device='cuda:0')",0.6174
2,0.9759257837492002,0.70064,"tensor(1.0440, device='cuda:0')",0.6663
3,0.8373071017274473,0.72678,"tensor(1.0877, device='cuda:0')",0.6797
4,0.7426858605246321,0.76358,"tensor(1.1255, device='cuda:0')",0.7033
5,0.6739219449776072,0.79362,"tensor(1.0840, device='cuda:0')",0.7174
6,0.6070863723608445,0.8159,"tensor(1.0207, device='cuda:0')",0.7198
7,0.5541042866282789,0.83174,"tensor(0.8868, device='cuda:0')",0.722
8,0.5092072936660268,0.83328,"tensor(0.8818, device='cuda:0')",0.714
9,0.4709609724888036,0.85314,"tensor(0.7795, device='cuda:0')",0.718
10,0.4216935380678183,0.8732,"tensor(0.8274, device='cuda:0')",0.7197
