epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,2.133,0.3494,1.759,0.3572
2,1.643,0.3866,1.594,0.3778
3,2.065,0.41,1.548,0.3984
4,1.807,0.43056,1.559,0.4219
5,1.243,0.44668,1.315,0.4258
6,1.431,0.45836,1.318,0.4356
7,1.486,0.459,1.735,0.4377
8,1.861,0.46522,1.638,0.4399
9,1.521,0.4593,1.787,0.4294
10,1.31,0.4776,1.781,0.4486
11,1.212,0.47628,1.577,0.4462
12,1.754,0.48516,2.119,0.4451
13,1.723,0.48838,2.203,0.451
14,1.372,0.49542,1.695,0.4579
15,1.555,0.48548,1.488,0.4408
16,1.545,0.50044,1.527,0.4594
17,1.402,0.49874,1.744,0.4501
18,1.554,0.49604,1.652,0.4543
19,1.42,0.50554,1.784,0.452
20,1.144,0.5163,1.619,0.4675
21,1.261,0.51422,2.008,0.4569
22,1.928,0.5082,1.898,0.4613
23,1.047,0.50952,1.695,0.452
24,1.607,0.49074,1.589,0.4453
25,1.5,0.5071,1.694,0.4469
26,1.967,0.51516,1.635,0.4528
27,1.288,0.5027,2.142,0.4484
28,1.411,0.50752,2.005,0.4415
29,1.221,0.51674,1.647,0.4567
30,1.428,0.51492,1.941,0.4516
31,1.407,0.518,1.103,0.453
32,0.984,0.52792,2.244,0.4672
33,1.607,0.51084,1.483,0.4551
34,1.162,0.52066,1.638,0.4552
35,2.028,0.51128,2.037,0.4547
36,1.379,0.5212,2.069,0.4551
37,2.924,0.52046,1.643,0.46
38,1.532,0.52422,2.029,0.4626
39,1.073,0.52342,1.819,0.4619
40,1.073,0.50944,1.605,0.4453
41,1.971,0.51014,2.044,0.4421
42,2.293,0.52566,1.707,0.461
43,1.702,0.52612,1.914,0.4549
44,1.256,0.51272,2.147,0.452
45,1.406,0.51612,2.08,0.4532
46,1.539,0.5149,1.993,0.453
47,1.415,0.50534,1.828,0.4415
48,1.43,0.51892,2.235,0.4513
49,1.474,0.49806,1.695,0.4351
50,1.441,0.51684,2.03,0.4451
51,1.402,0.5153,2.027,0.4527
52,1.691,0.50918,1.965,0.4494
53,1.449,0.51874,1.624,0.457
54,1.951,0.50998,1.911,0.4405
55,0.781,0.50838,2.598,0.4446
56,1.41,0.50994,1.481,0.4477
57,2.162,0.50596,1.559,0.443
58,1.166,0.51176,1.383,0.4507
59,1.505,0.5107,2.02,0.4424
60,1.606,0.50438,1.927,0.4452
61,1.175,0.5208,1.95,0.454
62,1.861,0.49566,2.139,0.4393
63,1.225,0.49272,1.17,0.4389
64,1.222,0.48204,1.921,0.4229
65,1.639,0.4863,1.399,0.4368
66,1.391,0.5002,1.265,0.4378
67,1.448,0.45428,1.62,0.4033
68,1.587,0.49668,1.815,0.447
69,1.525,0.49864,1.255,0.4417
70,1.588,0.4919,1.836,0.4327
71,1.473,0.48742,1.775,0.4336
72,1.129,0.4881,1.804,0.433
73,1.331,0.47652,1.322,0.4228
74,2.112,0.4335,1.931,0.3815
75,1.096,0.49346,1.804,0.4331
76,1.904,0.4891,1.929,0.438
77,1.69,0.47286,1.773,0.4211
78,1.152,0.49878,1.845,0.4372
79,1.729,0.48332,1.764,0.4222
80,1.382,0.48156,2.201,0.4324
81,1.292,0.46306,2.182,0.4136
82,1.701,0.46158,1.525,0.4088
83,1.644,0.4719,1.897,0.4213
84,1.604,0.46788,1.541,0.4111
85,1.554,0.46654,1.41,0.4149
86,1.196,0.47502,1.782,0.4247
87,1.587,0.47288,1.929,0.4186
88,1.449,0.47484,1.942,0.4179
89,1.605,0.49066,2.111,0.4294
90,1.604,0.4705,1.832,0.422
91,1.16,0.47912,1.682,0.4279
92,1.893,0.46932,1.943,0.4182
93,1.898,0.4726,1.733,0.4239
94,1.694,0.46334,1.756,0.4184
95,1.747,0.44494,2.192,0.4062
96,1.877,0.44876,1.708,0.3961
97,1.912,0.47668,1.813,0.4217
98,1.548,0.4215,2.205,0.3792
99,1.52,0.42892,1.575,0.3828
100,1.845,0.47254,2.064,0.4223
