epochs,training_loss,training_accuracy,testing_loss,testing_accuracy,num_parameters
1,0.3613824,0.93835,0.41226315789473683,0.9358,39760
2,0.18782133333333334,0.9560666666666666,0.18489473684210525,0.9527,39760
3,0.13915093333333334,0.9674666666666667,0.14021052631578948,0.9632,39760
4,0.11255573333333334,0.9743,0.12221052631578948,0.968,39760
5,0.09396586666666668,0.9751333333333333,0.11168421052631579,0.9678,39760
6,0.08092213333333334,0.9781333333333333,0.10263157894736842,0.9688,39760
7,0.07033813333333333,0.9821166666666666,0.09999999999999999,0.9677,39760
8,0.06226293333333333,0.9840666666666666,0.09789473684210527,0.9709,39760
9,0.05563306666666667,0.9832,0.09521052631578947,0.9685,39760
10,0.050978133333333335,0.9857333333333334,0.09442105263157895,0.9677,39760
11,0.04507253333333333,0.9907,0.09436842105263157,0.9728,39760
12,0.03997066666666666,0.99085,0.09468421052631579,0.9721,39760
13,0.0372336,0.9909333333333333,0.09273684210526316,0.9724,39760
14,0.03299733333333333,0.99075,0.09657894736842106,0.9699,39760
15,0.029528533333333332,0.99385,0.0978421052631579,0.9703,39760
16,0.027752533333333333,0.9935,0.09921052631578947,0.9729,39760
17,0.024364266666666665,0.99295,0.10331578947368421,0.9726,39760
18,0.022765866666666666,0.9953166666666666,0.10152631578947369,0.9738,39760
19,0.02088,0.99415,0.10457894736842106,0.9723,39760
20,0.019426666666666665,0.9941166666666666,0.10852631578947368,0.9716,39760
