epochs,training_loss,training_accuracy,testing_loss,testing_accuracy
1,0.662204255319149,0.9120666666666667,1.0210000000000001,0.9146
2,0.2882468085106383,0.92915,0.2823333333333333,0.9298
3,0.2364468085106383,0.94125,0.23266666666666666,0.9409
4,0.20471914893617021,0.94885,0.206,0.9471
5,0.1804255319148936,0.95375,0.18300000000000002,0.9478
6,0.16182978723404257,0.9585833333333333,0.16733333333333333,0.9525
7,0.1473744680851064,0.9617666666666667,0.15666666666666665,0.9562
8,0.13501276595744682,0.9653,0.14733333333333334,0.9582
9,0.12508936170212767,0.9675,0.13733333333333334,0.9608
10,0.11517446808510638,0.9707,0.13066666666666668,0.9615
11,0.10712765957446808,0.97265,0.12333333333333334,0.9643
12,0.0996,0.9735,0.11933333333333333,0.9628
13,0.0933659574468085,0.9758333333333333,0.12066666666666666,0.9666
14,0.08768936170212766,0.9775833333333334,0.11,0.9672
15,0.08217021276595744,0.9793833333333334,0.109,0.9677
16,0.07852765957446808,0.9807,0.10733333333333334,0.9694
17,0.07360425531914894,0.9814666666666667,0.103,0.9692
18,0.06952340425531915,0.9830166666666666,0.10099999999999999,0.9704
19,0.06534893617021276,0.9833833333333334,0.09966666666666667,0.9696
20,0.06176595744680851,0.9848,0.09933333333333333,0.9708
21,0.05882553191489362,0.9849166666666667,0.09699999999999999,0.9706
22,0.05550212765957446,0.9867,0.09666666666666666,0.9704
23,0.05306382978723405,0.9878333333333333,0.09566666666666666,0.9709
24,0.050387234042553186,0.9886,0.09399999999999999,0.9717
25,0.047714893617021276,0.9889,0.09233333333333334,0.9714
26,0.04522553191489362,0.9899666666666667,0.09433333333333332,0.9717
27,0.043191489361702126,0.9906666666666667,0.09300000000000001,0.9711
28,0.04108510638297872,0.9903,0.09399999999999999,0.9707
29,0.03923404255319149,0.9918666666666667,0.09366666666666668,0.9729
30,0.03658723404255319,0.99295,0.09200000000000001,0.9726
31,0.03528085106382979,0.9926166666666667,0.09133333333333334,0.9725
32,0.03331489361702127,0.9929833333333333,0.09200000000000001,0.9725
33,0.03148936170212766,0.9934833333333334,0.09033333333333333,0.972
34,0.029689361702127662,0.9938833333333333,0.09233333333333334,0.9732
35,0.028336170212765955,0.99355,0.09200000000000001,0.9714
36,0.027195744680851064,0.9955333333333334,0.09300000000000001,0.9731
37,0.025289361702127658,0.9961,0.09100000000000001,0.9732
38,0.024174468085106385,0.9958666666666667,0.09233333333333334,0.9721
39,0.023204255319148936,0.9966333333333334,0.09366666666666668,0.9737
